"id","age_mo","Congruency","ACC","RT"
"s1",57,"Congruent",TRUE,28
"s1",57,"Congruent",FALSE,815
"s1",57,"Congruent",TRUE,2241
"s1",57,"Congruent",TRUE,1648
"s1",57,"Congruent",TRUE,1322
"s1",57,"Congruent",TRUE,110
"s1",57,"Congruent",FALSE,4000
"s1",57,"Congruent",FALSE,4000
"s1",57,"Congruent",FALSE,3730
"s1",57,"Congruent",FALSE,4000
"s1",57,"Congruent",FALSE,4000
"s1",57,"Congruent",FALSE,4000
"s1",57,"Incongruent",FALSE,269
"s1",57,"Incongruent",FALSE,4000
"s1",57,"Incongruent",FALSE,4000
"s1",57,"Incongruent",TRUE,351
"s1",57,"Incongruent",TRUE,2766
"s1",57,"Incongruent",FALSE,2070
"s1",57,"Incongruent",FALSE,4000
"s1",57,"Incongruent",TRUE,157
"s1",57,"Incongruent",FALSE,4000
"s1",57,"Incongruent",FALSE,4000
"s1",57,"Incongruent",FALSE,2069
"s1",57,"Incongruent",TRUE,445
"s1",57,"Neutral",TRUE,1635
"s1",57,"Neutral",FALSE,728
"s1",57,"Neutral",FALSE,31
"s1",57,"Neutral",TRUE,310
"s1",57,"Neutral",FALSE,4000
"s1",57,"Neutral",FALSE,4000
"s1",57,"Neutral",FALSE,3953
"s1",57,"Neutral",TRUE,28
"s1",57,"Neutral",FALSE,145
"s1",57,"Neutral",TRUE,2239
"s1",57,"Neutral",FALSE,4000
"s1",57,"Neutral",FALSE,4000
"s10",57,"Congruent",TRUE,3579
"s10",57,"Congruent",TRUE,1990
"s10",57,"Congruent",FALSE,1093
"s10",57,"Congruent",TRUE,3142
"s10",57,"Congruent",TRUE,1656
"s10",57,"Congruent",TRUE,1827
"s10",57,"Congruent",TRUE,1641
"s10",57,"Congruent",TRUE,1417
"s10",57,"Congruent",TRUE,1124
"s10",57,"Congruent",TRUE,1627
"s10",57,"Congruent",TRUE,1168
"s10",57,"Congruent",TRUE,1130
"s10",57,"Incongruent",FALSE,4000
"s10",57,"Incongruent",FALSE,4000
"s10",57,"Incongruent",FALSE,1873
"s10",57,"Incongruent",FALSE,1916
"s10",57,"Incongruent",TRUE,1492
"s10",57,"Incongruent",TRUE,1678
"s10",57,"Incongruent",FALSE,1846
"s10",57,"Incongruent",FALSE,3820
"s10",57,"Incongruent",TRUE,1717
"s10",57,"Incongruent",FALSE,1427
"s10",57,"Incongruent",FALSE,1398
"s10",57,"Incongruent",FALSE,1687
"s10",57,"Neutral",FALSE,4000
"s10",57,"Neutral",FALSE,4000
"s10",57,"Neutral",FALSE,4000
"s10",57,"Neutral",FALSE,4000
"s10",57,"Neutral",TRUE,2276
"s10",57,"Neutral",TRUE,2622
"s10",57,"Neutral",TRUE,1816
"s10",57,"Neutral",TRUE,1999
"s10",57,"Neutral",TRUE,1568
"s10",57,"Neutral",TRUE,984
"s10",57,"Neutral",TRUE,1391
"s10",57,"Neutral",TRUE,833
"s11",50,"Congruent",FALSE,2431
"s11",50,"Congruent",TRUE,2103
"s11",50,"Congruent",TRUE,3562
"s11",50,"Congruent",TRUE,2771
"s11",50,"Congruent",TRUE,1222
"s11",50,"Congruent",TRUE,1180
"s11",50,"Congruent",TRUE,987
"s11",50,"Congruent",TRUE,1447
"s11",50,"Congruent",TRUE,980
"s11",50,"Congruent",TRUE,1279
"s11",50,"Congruent",TRUE,1693
"s11",50,"Congruent",TRUE,743
"s11",50,"Incongruent",TRUE,1206
"s11",50,"Incongruent",TRUE,1318
"s11",50,"Incongruent",FALSE,875
"s11",50,"Incongruent",TRUE,3646
"s11",50,"Incongruent",FALSE,2289
"s11",50,"Incongruent",TRUE,2179
"s11",50,"Incongruent",FALSE,4000
"s11",50,"Incongruent",TRUE,163
"s11",50,"Incongruent",TRUE,814
"s11",50,"Incongruent",TRUE,1547
